,node,sampleId,featureId,inequality,threshold,label
264,0,C000805115,averageDailyTraffic,>,27.5,negative
265,6,C000805115,yearBuilt,>,1986.0,negative
266,0,C000807115,averageDailyTraffic,<=,27.5,negative
267,1,C000807115,structureLength,>,15.349999904632568,negative
268,3,C000807115,averageDailyTraffic,<=,22.5,negative
269,0,C000808105,averageDailyTraffic,<=,27.5,negative
270,1,C000808105,structureLength,>,15.349999904632568,negative
271,3,C000808105,averageDailyTraffic,>,22.5,negative
272,0,C000808705,averageDailyTraffic,<=,27.5,negative
273,1,C000808705,structureLength,>,15.349999904632568,negative
274,3,C000808705,averageDailyTraffic,<=,22.5,negative
275,0,C000811610,averageDailyTraffic,<=,27.5,negative
276,1,C000811610,structureLength,<=,15.349999904632568,negative
277,0,C000817105,averageDailyTraffic,>,27.5,negative
278,6,C000817105,yearBuilt,>,1986.0,negative
279,0,C000818515,averageDailyTraffic,<=,27.5,negative
280,1,C000818515,structureLength,>,15.349999904632568,negative
281,3,C000818515,averageDailyTraffic,<=,22.5,negative
282,0,C000822615,averageDailyTraffic,>,27.5,negative
283,6,C000822615,yearBuilt,<=,1986.0,negative
284,7,C000822615,structureLength,>,12.799999713897705,negative
285,0,C000904905P,averageDailyTraffic,>,27.5,negative
286,6,C000904905P,yearBuilt,>,1986.0,negative
287,0,C000923915,averageDailyTraffic,<=,27.5,negative
288,1,C000923915,structureLength,<=,15.349999904632568,negative
289,0,C001000305P,averageDailyTraffic,<=,27.5,negative
290,1,C001000305P,structureLength,<=,15.349999904632568,negative
291,0,C001000320,averageDailyTraffic,<=,27.5,negative
292,1,C001000320,structureLength,<=,15.349999904632568,negative
293,0,C001000505,averageDailyTraffic,<=,27.5,negative
294,1,C001000505,structureLength,<=,15.349999904632568,negative
295,0,C001000515,averageDailyTraffic,<=,27.5,negative
296,1,C001000515,structureLength,<=,15.349999904632568,negative
297,0,C001000705,averageDailyTraffic,>,27.5,negative
298,6,C001000705,yearBuilt,>,1986.0,negative
299,0,C001000705P,averageDailyTraffic,<=,27.5,negative
300,1,C001000705P,structureLength,<=,15.349999904632568,negative
301,0,C001001110P,averageDailyTraffic,>,27.5,negative
302,6,C001001110P,yearBuilt,>,1986.0,negative
303,0,C001001705,averageDailyTraffic,>,27.5,negative
304,6,C001001705,yearBuilt,>,1986.0,negative
305,0,C001001925,averageDailyTraffic,<=,27.5,negative
306,1,C001001925,structureLength,<=,15.349999904632568,negative
307,0,C001002115,averageDailyTraffic,<=,27.5,negative
308,1,C001002115,structureLength,>,15.349999904632568,negative
309,3,C001002115,averageDailyTraffic,<=,22.5,negative
310,0,C001002310,averageDailyTraffic,<=,27.5,negative
311,1,C001002310,structureLength,<=,15.349999904632568,negative
312,0,C001002605P,averageDailyTraffic,>,27.5,negative
313,6,C001002605P,yearBuilt,>,1986.0,negative
314,0,C001002810,averageDailyTraffic,>,27.5,negative
315,6,C001002810,yearBuilt,>,1986.0,negative
316,0,C001002905,averageDailyTraffic,<=,27.5,negative
317,1,C001002905,structureLength,<=,15.349999904632568,negative
318,0,C001003443,averageDailyTraffic,>,27.5,negative
319,6,C001003443,yearBuilt,>,1986.0,negative
320,0,C001004215,averageDailyTraffic,>,27.5,negative
321,6,C001004215,yearBuilt,>,1986.0,negative
322,0,C001004503,averageDailyTraffic,<=,27.5,negative
323,1,C001004503,structureLength,>,15.349999904632568,negative
324,3,C001004503,averageDailyTraffic,<=,22.5,negative
325,0,C001004505,averageDailyTraffic,<=,27.5,negative
326,1,C001004505,structureLength,<=,15.349999904632568,negative
327,0,C001004905P,averageDailyTraffic,<=,27.5,negative
328,1,C001004905P,structureLength,>,15.349999904632568,negative
329,3,C001004905P,averageDailyTraffic,>,22.5,negative
330,0,C001005005,averageDailyTraffic,<=,27.5,negative
331,1,C001005005,structureLength,<=,15.349999904632568,negative
332,0,C001006335,averageDailyTraffic,<=,27.5,negative
333,1,C001006335,structureLength,<=,15.349999904632568,negative
334,0,C001006550,averageDailyTraffic,<=,27.5,negative
335,1,C001006550,structureLength,>,15.349999904632568,negative
336,3,C001006550,averageDailyTraffic,<=,22.5,negative
337,0,C001007105,averageDailyTraffic,>,27.5,negative
338,6,C001007105,yearBuilt,>,1986.0,negative
339,0,C001010325,averageDailyTraffic,<=,27.5,negative
340,1,C001010325,structureLength,>,15.349999904632568,negative
341,3,C001010325,averageDailyTraffic,<=,22.5,negative
342,0,C001010410P,averageDailyTraffic,>,27.5,negative
343,6,C001010410P,yearBuilt,>,1986.0,negative
344,0,C001010610,averageDailyTraffic,<=,27.5,negative
345,1,C001010610,structureLength,<=,15.349999904632568,negative
346,0,C001011715,averageDailyTraffic,<=,27.5,negative
347,1,C001011715,structureLength,<=,15.349999904632568,negative
348,0,C001012408,averageDailyTraffic,>,27.5,negative
349,6,C001012408,yearBuilt,>,1986.0,negative
350,0,C001012415,averageDailyTraffic,>,27.5,negative
351,6,C001012415,yearBuilt,>,1986.0,negative
352,0,C001012705P,averageDailyTraffic,>,27.5,negative
353,6,C001012705P,yearBuilt,>,1986.0,negative
354,0,C001014050,averageDailyTraffic,<=,27.5,negative
355,1,C001014050,structureLength,<=,15.349999904632568,negative
356,0,C001014055,averageDailyTraffic,>,27.5,negative
357,6,C001014055,yearBuilt,>,1986.0,negative
358,0,C001015705,averageDailyTraffic,<=,27.5,negative
359,1,C001015705,structureLength,>,15.349999904632568,negative
360,3,C001015705,averageDailyTraffic,<=,22.5,negative
361,0,C001015725,averageDailyTraffic,<=,27.5,negative
362,1,C001015725,structureLength,>,15.349999904632568,negative
363,3,C001015725,averageDailyTraffic,<=,22.5,negative
364,0,C001015730,averageDailyTraffic,>,27.5,negative
365,6,C001015730,yearBuilt,>,1986.0,negative
366,0,C001016902,averageDailyTraffic,<=,27.5,negative
367,1,C001016902,structureLength,<=,15.349999904632568,negative
368,0,C001020225,averageDailyTraffic,>,27.5,negative
369,6,C001020225,yearBuilt,>,1986.0,negative
370,0,C001020615,averageDailyTraffic,>,27.5,negative
371,6,C001020615,yearBuilt,<=,1986.0,negative
372,7,C001020615,structureLength,>,12.799999713897705,negative
373,0,C001020810,averageDailyTraffic,>,27.5,negative
374,6,C001020810,yearBuilt,>,1986.0,negative
375,0,C001021120,averageDailyTraffic,>,27.5,negative
376,6,C001021120,yearBuilt,<=,1986.0,negative
377,7,C001021120,structureLength,>,12.799999713897705,negative
378,0,C001021620,averageDailyTraffic,>,27.5,negative
379,6,C001021620,yearBuilt,>,1986.0,negative
380,0,C001022235,averageDailyTraffic,>,27.5,negative
381,6,C001022235,yearBuilt,>,1986.0,negative
382,0,C001022260,averageDailyTraffic,>,27.5,negative
383,6,C001022260,yearBuilt,>,1986.0,negative
384,0,C001023113,averageDailyTraffic,<=,27.5,negative
385,1,C001023113,structureLength,<=,15.349999904632568,negative
386,0,C001023115,averageDailyTraffic,<=,27.5,negative
387,1,C001023115,structureLength,>,15.349999904632568,negative
388,3,C001023115,averageDailyTraffic,<=,22.5,negative
389,0,C001023125,averageDailyTraffic,<=,27.5,negative
390,1,C001023125,structureLength,<=,15.349999904632568,negative
391,0,C001023925,averageDailyTraffic,>,27.5,negative
392,6,C001023925,yearBuilt,>,1986.0,negative
393,0,C001025920,averageDailyTraffic,>,27.5,negative
394,6,C001025920,yearBuilt,>,1986.0,negative
395,0,C001025925,averageDailyTraffic,<=,27.5,negative
396,1,C001025925,structureLength,>,15.349999904632568,negative
397,3,C001025925,averageDailyTraffic,<=,22.5,negative
398,0,C001030410,averageDailyTraffic,<=,27.5,negative
399,1,C001030410,structureLength,<=,15.349999904632568,negative
400,0,C001031410,averageDailyTraffic,<=,27.5,negative
401,1,C001031410,structureLength,>,15.349999904632568,negative
402,3,C001031410,averageDailyTraffic,<=,22.5,negative
403,0,C001031420,averageDailyTraffic,<=,27.5,negative
404,1,C001031420,structureLength,<=,15.349999904632568,negative
405,0,C001031635,averageDailyTraffic,<=,27.5,negative
406,1,C001031635,structureLength,>,15.349999904632568,negative
407,3,C001031635,averageDailyTraffic,<=,22.5,negative
408,0,C001031640,averageDailyTraffic,>,27.5,negative
409,6,C001031640,yearBuilt,>,1986.0,negative
410,0,C001031850,averageDailyTraffic,<=,27.5,negative
411,1,C001031850,structureLength,<=,15.349999904632568,negative
412,0,C001042815,averageDailyTraffic,>,27.5,negative
413,6,C001042815,yearBuilt,>,1986.0,negative
414,0,C001044810,averageDailyTraffic,<=,27.5,negative
415,1,C001044810,structureLength,<=,15.349999904632568,negative
416,0,C001051030,averageDailyTraffic,<=,27.5,negative
417,1,C001051030,structureLength,>,15.349999904632568,negative
418,3,C001051030,averageDailyTraffic,>,22.5,negative
419,0,C001051210,averageDailyTraffic,<=,27.5,negative
420,1,C001051210,structureLength,>,15.349999904632568,negative
421,3,C001051210,averageDailyTraffic,<=,22.5,negative
422,0,C001100135,averageDailyTraffic,>,27.5,negative
423,6,C001100135,yearBuilt,>,1986.0,negative
424,0,C001100330,averageDailyTraffic,>,27.5,negative
425,6,C001100330,yearBuilt,<=,1986.0,negative
426,7,C001100330,structureLength,<=,12.799999713897705,negative
427,8,C001100330,latitude,>,40.61000061035156,negative
428,10,C001100330,operatingRating,<=,59.39999961853027,negative
429,0,C001101205,averageDailyTraffic,<=,27.5,negative
430,1,C001101205,structureLength,<=,15.349999904632568,negative
431,0,C001101205P,averageDailyTraffic,<=,27.5,negative
432,1,C001101205P,structureLength,>,15.349999904632568,negative
433,3,C001101205P,averageDailyTraffic,<=,22.5,negative
434,0,C001101405,averageDailyTraffic,<=,27.5,negative
435,1,C001101405,structureLength,<=,15.349999904632568,negative
436,0,C001101405P,averageDailyTraffic,>,27.5,negative
437,6,C001101405P,yearBuilt,>,1986.0,negative
438,0,C001101410,averageDailyTraffic,<=,27.5,negative
439,1,C001101410,structureLength,<=,15.349999904632568,negative
440,0,C001101705,averageDailyTraffic,>,27.5,negative
441,6,C001101705,yearBuilt,<=,1986.0,negative
442,7,C001101705,structureLength,>,12.799999713897705,negative
443,0,C001102305,averageDailyTraffic,>,27.5,negative
444,6,C001102305,yearBuilt,>,1986.0,negative
445,0,C001102710,averageDailyTraffic,>,27.5,negative
446,6,C001102710,yearBuilt,<=,1986.0,negative
447,7,C001102710,structureLength,<=,12.799999713897705,negative
448,8,C001102710,latitude,>,40.61000061035156,negative
449,10,C001102710,operatingRating,<=,59.39999961853027,negative
450,0,C001103105,averageDailyTraffic,<=,27.5,negative
451,1,C001103105,structureLength,<=,15.349999904632568,negative
452,0,C001104005,averageDailyTraffic,>,27.5,negative
453,6,C001104005,yearBuilt,>,1986.0,negative
454,0,C001104205,averageDailyTraffic,>,27.5,negative
455,6,C001104205,yearBuilt,>,1986.0,negative
456,0,C001104410,averageDailyTraffic,>,27.5,negative
457,6,C001104410,yearBuilt,<=,1986.0,negative
458,7,C001104410,structureLength,>,12.799999713897705,negative
459,0,C001104415,averageDailyTraffic,<=,27.5,negative
460,1,C001104415,structureLength,<=,15.349999904632568,negative
461,0,C001104607,averageDailyTraffic,<=,27.5,negative
462,1,C001104607,structureLength,<=,15.349999904632568,negative
463,0,C001104610,averageDailyTraffic,<=,27.5,negative
464,1,C001104610,structureLength,>,15.349999904632568,negative
465,3,C001104610,averageDailyTraffic,<=,22.5,negative
466,0,C001104803,averageDailyTraffic,<=,27.5,negative
467,1,C001104803,structureLength,>,15.349999904632568,negative
468,3,C001104803,averageDailyTraffic,>,22.5,negative
469,0,C001104810,averageDailyTraffic,>,27.5,negative
470,6,C001104810,yearBuilt,>,1986.0,negative
471,0,C001105220,averageDailyTraffic,>,27.5,negative
472,6,C001105220,yearBuilt,<=,1986.0,negative
473,7,C001105220,structureLength,>,12.799999713897705,negative
474,0,C001105225,averageDailyTraffic,>,27.5,negative
475,6,C001105225,yearBuilt,>,1986.0,negative
476,0,C001110505,averageDailyTraffic,>,27.5,negative
477,6,C001110505,yearBuilt,>,1986.0,negative
478,0,C001111015,averageDailyTraffic,>,27.5,negative
479,6,C001111015,yearBuilt,>,1986.0,negative
480,0,C001111730,averageDailyTraffic,>,27.5,negative
481,6,C001111730,yearBuilt,>,1986.0,negative
482,0,C001112015,averageDailyTraffic,>,27.5,negative
483,6,C001112015,yearBuilt,>,1986.0,negative
484,0,C001112805P,averageDailyTraffic,<=,27.5,negative
485,1,C001112805P,structureLength,<=,15.349999904632568,negative
486,0,C001112903,averageDailyTraffic,<=,27.5,negative
487,1,C001112903,structureLength,<=,15.349999904632568,negative
488,0,C001114420,averageDailyTraffic,<=,27.5,negative
489,1,C001114420,structureLength,<=,15.349999904632568,negative
490,0,C001114620,averageDailyTraffic,<=,27.5,negative
491,1,C001114620,structureLength,<=,15.349999904632568,negative
492,0,C001121930,averageDailyTraffic,>,27.5,negative
493,6,C001121930,yearBuilt,<=,1986.0,negative
494,7,C001121930,structureLength,>,12.799999713897705,negative
495,0,C001132720,averageDailyTraffic,<=,27.5,negative
496,1,C001132720,structureLength,<=,15.349999904632568,negative
497,0,C001132725,averageDailyTraffic,<=,27.5,negative
